CounterId,Name,Neigborhood,LAT,LONG,Zipcode
1,Fremont Bridge,FREMONT,47.64762051,-122.3497689,98109
2,Spokane Street on West Seattle Bridge,INDUSRIAL DISTRICT,47.61539447,-122.3266616,98134
3,MTS Trail west of I-90 Bridge,LESCHI,47.58964256,-122.2704535,98144
4,2nd Ave,DOWNTOWN SEATTLE,47.6048472,-122.3348784,98174
5,Burke Gilman north of NE 70th St,SAND POINT,47.67935668,-122.263671,98115
6,NW 58th St Greenway at 22nd Ave NW,BALLARD,47.67094201,-122.3847735,98107
7,39th Ave NE Greenway at NE 62nd St,RAVENNA,47.67359501,-122.2858547,98115
8,Chief Sealth Trail North of Thistle,RAINIER BEACH,47.52805119,-122.2811049,98118
9,Broadway Cycle Track North of E Union St,CAPITOL HILL,47.61275262,-122.3186871,98122
10,Elliott Bay Trail in Myrtle Edwards Park,INTERBAY,47.62086632,-122.3644779,98121
11,Westlake PBL at Newton St,WESTLAKE,47.63668907,-122.3400856,98109
