Name,District
BROADVIEW,NORTH SEATTLE
BROADMOOR,CENTRAL SEATTLE
NORTHGATE,NORTH SEATTLE
LAKE CITY,NORTH SEATTLE
GREENWOOD,NORTH SEATTLE
WEDGEWOOD,NORTH SEATTLE
BALLARD,NORTH SEATTLE
PHINNEY RIDGE,NORTH SEATTLE
GREENLAKE,NORTH SEATTLE
UNIVERSITY DISTRICT,NORTH SEATTLE
RAVENNA,NORTH SEATTLE
FREMONT,LAKE UNION
WALLINGFORD,LAKE UNION
MAGNOLIA,CENTRAL SEATTLE
INTERBAY,CENTRAL SEATTLE
QUEEN ANNE,CENTRAL SEATTLE
LOWER QUEEN ANNE,QUEEN ANNE
EASTLAKE,LAKE UNION
MONTLAKE,CENTRAL SEATTLE
MADISON PARK,CENTRAL SEATTLE
SOUTH LAKE UNION,LAKE UNION
CAPITOL HILL,CENTRAL SEATTLE
MADRONA,CENTRAL SEATTLE
BELLTOWN,CENTRAL SEATTLE
DOWNTOWN SEATTLE,CENTRAL SEATTLE
FIRST HILL,CENTRAL SEATTLE
CENTRAL DISTRICT,CENTRAL SEATTLE
LESCHI,CENTRAL SEATTLE
PIONEER SQUARE,CENTRAL SEATTLE
INTERNATIONAL DISTRICT,CENTRAL SEATTLE
INDUSTRIAL DISTRICT,SOUTH END
BEACON HILL,SOUTH END
MOUNT BAKER,SOUTH END
DELRIDGE,SOUTH END
COLUMBIA CITY,SOUTH END
SEWARD PARK,SOUTH END
SOUTH PARK,SOUTH END
GEORGETOWN,SOUTH END
RAINIER BEACH,SOUTH END
ALKI,WEST SEATTLE
BLUE RIDGE,NORTH SEATTLE
BRYANT,NORTH SEATTLE
HAWTHORNE HILLS,NORTH SEATTLE
VIEW RIDGE,NORTH SEATTLE
SAND POINT,NORTH SEATTLE
MATTHEWS BEACH,LAKE CITY
CEDAR PARK,LAKE CITY
NORTH BEACH,NORTH SEATTLE
SUNSET HILL,NORTH SEATTLE
HIGHLAND PARK,SOUTH END
RIVERVIEW,SOUTH END
NORTH DELRIDGE,SOUTH END
ATLANTIC,CENTRAL SEATTLE
BITTER LAKE,NORTH SEATTLE
WESTLAKE,CENTRAL SEATTLE
