Date,Total,West,East
2020-06-01 00:00:00,2,2,0
2020-06-01 01:00:00,1,0,1
2020-06-01 02:00:00,2,2,0
2020-06-01 03:00:00,1,0,1
2020-06-01 04:00:00,3,1,2
2020-06-01 05:00:00,36,5,31
2020-06-01 06:00:00,79,20,59
2020-06-01 07:00:00,58,8,50
2020-06-01 08:00:00,53,13,40
2020-06-01 09:00:00,32,11,21
2020-06-01 10:00:00,26,10,16
2020-06-01 11:00:00,34,14,20
2020-06-01 12:00:00,41,19,22
2020-06-01 13:00:00,44,20,24
2020-06-01 14:00:00,73,42,31
2020-06-01 15:00:00,95,62,33
2020-06-01 16:00:00,117,70,47
2020-06-01 17:00:00,125,86,39
2020-06-01 18:00:00,62,46,16
2020-06-01 19:00:00,35,25,10
2020-06-01 20:00:00,21,7,14
2020-06-01 21:00:00,9,5,4
2020-06-01 22:00:00,0,0,0
2020-06-01 23:00:00,0,0,0
2020-06-02 00:00:00,0,0,0
2020-06-02 01:00:00,0,0,0
2020-06-02 02:00:00,0,0,0
2020-06-02 03:00:00,0,0,0
2020-06-02 04:00:00,0,0,0
2020-06-02 05:00:00,0,0,0
2020-06-02 06:00:00,0,0,0
2020-06-02 07:00:00,0,0,0
2020-06-02 08:00:00,54,9,45
2020-06-02 09:00:00,40,8,32
2020-06-02 10:00:00,44,19,25
2020-06-02 11:00:00,41,15,26
2020-06-02 12:00:00,35,16,19
2020-06-02 13:00:00,50,22,28
2020-06-02 14:00:00,76,46,30
2020-06-02 15:00:00,68,45,23
2020-06-02 16:00:00,77,55,22
2020-06-02 17:00:00,75,57,18
2020-06-02 18:00:00,45,36,9
2020-06-02 19:00:00,33,18,15
2020-06-02 20:00:00,16,10,6
2020-06-02 21:00:00,19,12,7
2020-06-02 22:00:00,9,4,5
2020-06-02 23:00:00,8,5,3
2020-06-03 00:00:00,10,8,2
2020-06-03 01:00:00,9,6,3
2020-06-03 02:00:00,1,1,0
2020-06-03 03:00:00,1,0,1
2020-06-03 04:00:00,2,1,1
2020-06-03 05:00:00,25,5,20
2020-06-03 06:00:00,74,13,61
2020-06-03 07:00:00,73,20,53
2020-06-03 08:00:00,49,12,37
2020-06-03 09:00:00,33,7,26
2020-06-03 10:00:00,30,14,16
2020-06-03 11:00:00,40,17,23
2020-06-03 12:00:00,54,31,23
2020-06-03 13:00:00,55,24,31
2020-06-03 14:00:00,71,36,35
2020-06-03 15:00:00,100,65,35
2020-06-03 16:00:00,120,69,51
2020-06-03 17:00:00,139,91,48
2020-06-03 18:00:00,100,65,35
2020-06-03 19:00:00,68,30,38
2020-06-03 20:00:00,30,17,13
2020-06-03 21:00:00,18,9,9
2020-06-03 22:00:00,9,6,3
2020-06-03 23:00:00,3,3,0
2020-06-04 00:00:00,3,3,0
2020-06-04 01:00:00,8,6,2
2020-06-04 02:00:00,2,1,1
2020-06-04 03:00:00,1,0,1
2020-06-04 04:00:00,3,1,2
2020-06-04 05:00:00,29,7,22
2020-06-04 06:00:00,82,15,67
2020-06-04 07:00:00,62,15,47
2020-06-04 08:00:00,44,3,41
2020-06-04 09:00:00,32,15,17
2020-06-04 10:00:00,36,11,25
2020-06-04 11:00:00,29,10,19
2020-06-04 12:00:00,36,14,22
2020-06-04 13:00:00,66,33,33
2020-06-04 14:00:00,67,29,38
2020-06-04 15:00:00,97,61,36
2020-06-04 16:00:00,105,68,37
2020-06-04 17:00:00,142,93,49
2020-06-04 18:00:00,102,61,41
2020-06-04 19:00:00,55,30,25
2020-06-04 20:00:00,39,26,13
2020-06-04 21:00:00,19,15,4
2020-06-04 22:00:00,14,7,7
2020-06-04 23:00:00,5,2,3
2020-06-05 00:00:00,2,1,1
2020-06-05 01:00:00,2,0,2
2020-06-05 02:00:00,3,3,0
2020-06-05 03:00:00,1,1,0
2020-06-05 04:00:00,2,0,2
2020-06-05 05:00:00,28,7,21
2020-06-05 06:00:00,47,10,37
2020-06-05 07:00:00,70,19,51
2020-06-05 08:00:00,50,15,35
2020-06-05 09:00:00,40,13,27
2020-06-05 10:00:00,44,13,31
2020-06-05 11:00:00,45,24,21
2020-06-05 12:00:00,67,36,31
2020-06-05 13:00:00,62,31,31
2020-06-05 14:00:00,63,35,28
2020-06-05 15:00:00,104,63,41
2020-06-05 16:00:00,92,54,38
2020-06-05 17:00:00,121,79,42
2020-06-05 18:00:00,80,57,23
2020-06-05 19:00:00,37,21,16
2020-06-05 20:00:00,22,6,16
2020-06-05 21:00:00,18,15,3
2020-06-05 22:00:00,4,2,2
2020-06-05 23:00:00,2,0,2
2020-06-06 00:00:00,5,3,2
2020-06-06 01:00:00,3,1,2
2020-06-06 02:00:00,2,1,1
