Date,2nd Ave Cycletrack,NB,SB
2020-03-01 00:00:00,4,1,3
2020-03-01 01:00:00,4,3,1
2020-03-01 02:00:00,0,0,0
2020-03-01 03:00:00,1,1,0
2020-03-01 04:00:00,0,0,0
2020-03-01 05:00:00,2,1,1
2020-03-01 06:00:00,3,1,2
2020-03-01 07:00:00,6,4,2
2020-03-01 08:00:00,13,9,4
2020-03-01 09:00:00,15,9,6
2020-03-01 10:00:00,24,17,7
2020-03-01 11:00:00,82,70,12
2020-03-01 12:00:00,20,15,5
2020-03-01 13:00:00,31,14,17
2020-03-01 14:00:00,73,19,54
2020-03-01 15:00:00,37,15,22
2020-03-01 16:00:00,36,16,20
2020-03-01 17:00:00,24,13,11
2020-03-01 18:00:00,16,8,8
2020-03-01 19:00:00,4,0,4
2020-03-01 20:00:00,13,7,6
2020-03-01 21:00:00,2,1,1
2020-03-01 22:00:00,10,3,7
2020-03-01 23:00:00,7,4,3
2020-03-02 00:00:00,1,1,0
2020-03-02 01:00:00,0,0,0
2020-03-02 02:00:00,0,0,0
2020-03-02 03:00:00,0,0,0
2020-03-02 04:00:00,3,1,2
2020-03-02 05:00:00,18,3,15
2020-03-02 06:00:00,27,9,18
2020-03-02 07:00:00,109,40,69
2020-03-02 08:00:00,135,57,78
2020-03-02 09:00:00,69,31,38
2020-03-02 10:00:00,27,14,13
2020-03-02 11:00:00,25,13,12
2020-03-02 12:00:00,29,13,16
2020-03-02 13:00:00,30,15,15
2020-03-02 14:00:00,36,21,15
2020-03-02 15:00:00,45,32,13
2020-03-02 16:00:00,142,95,47
2020-03-02 17:00:00,172,125,47
2020-03-02 18:00:00,79,53,26
2020-03-02 19:00:00,25,17,8
2020-03-02 20:00:00,12,7,5
2020-03-02 21:00:00,12,9,3
2020-03-02 22:00:00,2,0,2
2020-03-02 23:00:00,7,4,3
2020-03-03 00:00:00,4,3,1
2020-03-03 01:00:00,3,2,1
2020-03-03 02:00:00,0,0,0
2020-03-03 03:00:00,1,0,1
2020-03-03 04:00:00,1,1,0
2020-03-03 05:00:00,14,5,9
2020-03-03 06:00:00,37,14,23
2020-03-03 07:00:00,98,37,61
2020-03-03 08:00:00,149,65,84
2020-03-03 09:00:00,80,35,45
2020-03-03 10:00:00,35,15,20
2020-03-03 11:00:00,32,13,19
2020-03-03 12:00:00,41,25,16
2020-03-03 13:00:00,36,21,15
2020-03-03 14:00:00,31,19,12
2020-03-03 15:00:00,70,46,24
2020-03-03 16:00:00,157,111,46
2020-03-03 17:00:00,185,109,76
2020-03-03 18:00:00,93,60,33
2020-03-03 19:00:00,39,26,13
2020-03-03 20:00:00,15,8,7
2020-03-03 21:00:00,7,3,4
2020-03-03 22:00:00,11,6,5
2020-03-03 23:00:00,5,2,3
2020-03-04 00:00:00,4,4,0
2020-03-04 01:00:00,1,1,0
2020-03-04 02:00:00,6,4,2
2020-03-04 03:00:00,0,0,0
2020-03-04 04:00:00,1,1,0
2020-03-04 05:00:00,14,4,10
2020-03-04 06:00:00,35,16,19
2020-03-04 07:00:00,101,45,56
2020-03-04 08:00:00,156,75,81
2020-03-04 09:00:00,81,46,35
2020-03-04 10:00:00,39,21,18
2020-03-04 11:00:00,35,18,17
2020-03-04 12:00:00,48,22,26
2020-03-04 13:00:00,45,26,19
2020-03-04 14:00:00,55,28,27
2020-03-04 15:00:00,74,52,22
2020-03-04 16:00:00,150,95,55
2020-03-04 17:00:00,181,112,69
2020-03-04 18:00:00,91,59,32
2020-03-04 19:00:00,30,18,12
2020-03-04 20:00:00,17,8,9
2020-03-04 21:00:00,13,10,3
2020-03-04 22:00:00,10,7,3
2020-03-04 23:00:00,1,0,1
2020-03-05 00:00:00,3,2,1
2020-03-05 01:00:00,2,1,1
2020-03-05 02:00:00,1,1,0
