Date,BGT North of NE 70th Total,Bike North,Bike South
2019-01-01 00:00:00,0,0,0
2019-01-01 01:00:00,1,1,0
2019-01-01 02:00:00,1,0,1
2019-01-01 03:00:00,0,0,0
2019-01-01 04:00:00,1,1,0
2019-01-01 05:00:00,1,1,0
2019-01-01 06:00:00,2,1,1
2019-01-01 07:00:00,4,2,2
2019-01-01 08:00:00,6,1,5
2019-01-01 09:00:00,22,12,10
2019-01-01 10:00:00,38,12,26
2019-01-01 11:00:00,91,34,57
2019-01-01 12:00:00,67,25,42
2019-01-01 13:00:00,95,42,53
2019-01-01 14:00:00,106,53,53
2019-01-01 15:00:00,59,41,18
2019-01-01 16:00:00,19,11,8
2019-01-01 17:00:00,5,3,2
2019-01-01 18:00:00,7,4,3
2019-01-01 19:00:00,1,1,0
2019-01-01 20:00:00,1,0,1
2019-01-01 21:00:00,0,0,0
2019-01-01 22:00:00,2,0,2
2019-01-01 23:00:00,0,0,0
2019-01-02 00:00:00,0,0,0
2019-01-02 01:00:00,0,0,0
2019-01-02 02:00:00,0,0,0
2019-01-02 03:00:00,0,0,0
2019-01-02 04:00:00,1,1,0
2019-01-02 05:00:00,8,8,0
2019-01-02 06:00:00,23,22,1
2019-01-02 07:00:00,26,26,0
2019-01-02 08:00:00,47,40,7
2019-01-02 09:00:00,29,21,8
2019-01-02 10:00:00,18,11,7
2019-01-02 11:00:00,12,8,4
2019-01-02 12:00:00,21,9,12
2019-01-02 13:00:00,28,13,15
2019-01-02 14:00:00,24,12,12
2019-01-02 15:00:00,28,5,23
2019-01-02 16:00:00,46,18,28
2019-01-02 17:00:00,63,6,57
2019-01-02 18:00:00,34,4,30
2019-01-02 19:00:00,16,4,12
2019-01-02 20:00:00,5,0,5
2019-01-02 21:00:00,4,4,0
2019-01-02 22:00:00,1,0,1
2019-01-02 23:00:00,1,0,1
2019-01-03 00:00:00,0,0,0
2019-01-03 01:00:00,0,0,0
2019-01-03 02:00:00,0,0,0
2019-01-03 03:00:00,0,0,0
2019-01-03 04:00:00,2,2,0
2019-01-03 05:00:00,8,7,1
2019-01-03 06:00:00,16,15,1
2019-01-03 07:00:00,26,23,3
2019-01-03 08:00:00,28,25,3
2019-01-03 09:00:00,19,16,3
2019-01-03 10:00:00,6,3,3
2019-01-03 11:00:00,15,8,7
