Date,Total,Bike North,Bike South
2014-01-01 00:00:00,4,3,1
2014-01-01 01:00:00,2,1,1
2014-01-01 02:00:00,4,1,3
2014-01-01 03:00:00,2,1,1
2014-01-01 04:00:00,0,0,0
2014-01-01 05:00:00,2,1,1
2014-01-01 06:00:00,0,0,0
2014-01-01 07:00:00,9,5,4
2014-01-01 08:00:00,6,4,2
2014-01-01 09:00:00,10,7,3
2014-01-01 10:00:00,34,13,21
2014-01-01 11:00:00,42,14,28
2014-01-01 12:00:00,51,26,25
2014-01-01 13:00:00,74,33,41
2014-01-01 14:00:00,87,45,42
2014-01-01 15:00:00,54,25,29
2014-01-01 16:00:00,42,25,17
2014-01-01 17:00:00,12,7,5
2014-01-01 18:00:00,6,2,4
2014-01-01 19:00:00,3,2,1
2014-01-01 20:00:00,3,2,1
2014-01-01 21:00:00,1,0,1
2014-01-01 22:00:00,0,0,0
2014-01-01 23:00:00,2,1,1
2014-01-02 00:00:00,2,1,1
2014-01-02 01:00:00,0,0,0
2014-01-02 02:00:00,0,0,0
2014-01-02 03:00:00,2,1,1
2014-01-02 04:00:00,3,1,2
2014-01-02 05:00:00,19,10,9
2014-01-02 06:00:00,22,14,8
2014-01-02 07:00:00,68,49,19
2014-01-02 08:00:00,83,64,19
2014-01-02 09:00:00,43,31,12
2014-01-02 10:00:00,15,11,4
2014-01-02 11:00:00,20,9,11
2014-01-02 12:00:00,16,10,6
2014-01-02 13:00:00,30,12,18
2014-01-02 14:00:00,32,14,18
2014-01-02 15:00:00,62,25,37
2014-01-02 16:00:00,102,20,82
2014-01-02 17:00:00,44,8,36
2014-01-02 18:00:00,15,4,11
2014-01-02 19:00:00,3,0,3
2014-01-02 20:00:00,2,0,2
2014-01-02 21:00:00,1,0,1
2014-01-02 22:00:00,2,0,2
2014-01-02 23:00:00,3,0,3
2014-01-03 00:00:00,0,0,0
2014-01-03 01:00:00,0,0,0
2014-01-03 02:00:00,0,0,0
2014-01-03 03:00:00,2,1,1
2014-01-03 04:00:00,21,11,10
2014-01-03 05:00:00,23,10,13
2014-01-03 06:00:00,76,55,21
2014-01-03 07:00:00,86,63,23
2014-01-03 08:00:00,46,41,5
2014-01-03 09:00:00,17,13,4
2014-01-03 10:00:00,20,11,9
2014-01-03 11:00:00,41,21,20
2014-01-03 12:00:00,44,18,26
2014-01-03 13:00:00,68,27,41
2014-01-03 14:00:00,69,33,36
2014-01-03 15:00:00,86,28,58
2014-01-03 16:00:00,106,23,83
2014-01-03 17:00:00,39,9,30
2014-01-03 18:00:00,8,2,6
2014-01-03 19:00:00,3,1,2
2014-01-03 20:00:00,8,2,6
2014-01-03 21:00:00,4,3,1
2014-01-03 22:00:00,0,0,0
2014-01-03 23:00:00,5,3,2
2014-01-04 00:00:00,1,0,1
2014-01-04 01:00:00,1,0,1
2014-01-04 02:00:00,0,0,0
2014-01-04 03:00:00,0,0,0
2014-01-04 04:00:00,2,0,2
2014-01-04 05:00:00,4,4,0
2014-01-04 06:00:00,8,4,4
2014-01-04 07:00:00,24,19,5
2014-01-04 08:00:00,29,13,16
2014-01-04 09:00:00,46,26,20
2014-01-04 10:00:00,59,35,24
2014-01-04 11:00:00,90,35,55
2014-01-04 12:00:00,82,33,49
2014-01-04 13:00:00,113,47,66
