Date,MTS Trl West of I-90 Bridge Total,Bike East,Bike West
2019-12-01 00:00:00,0,0,0
2019-12-01 01:00:00,0,0,0
2019-12-01 02:00:00,0,0,0
2019-12-01 03:00:00,0,0,0
2019-12-01 04:00:00,0,0,0
2019-12-01 05:00:00,0,0,0
2019-12-01 06:00:00,2,0,2
2019-12-01 07:00:00,6,4,2
2019-12-01 08:00:00,6,2,4
2019-12-01 09:00:00,11,7,4
2019-12-01 10:00:00,17,7,10
2019-12-01 11:00:00,18,12,6
2019-12-01 12:00:00,22,13,9
2019-12-01 13:00:00,20,10,10
2019-12-01 14:00:00,20,13,7
2019-12-01 15:00:00,15,10,5
2019-12-01 16:00:00,4,3,1
2019-12-01 17:00:00,0,0,0
2019-12-01 18:00:00,3,2,1
2019-12-01 19:00:00,2,2,0
2019-12-01 20:00:00,1,0,1
2019-12-01 21:00:00,1,1,0
2019-12-01 22:00:00,0,0,0
2019-12-01 23:00:00,0,0,0
2019-12-02 00:00:00,0,0,0
2019-12-02 01:00:00,0,0,0
2019-12-02 02:00:00,0,0,0
2019-12-02 03:00:00,0,0,0
2019-12-02 04:00:00,1,1,0
2019-12-02 05:00:00,7,5,2
2019-12-02 06:00:00,13,6,7
2019-12-02 07:00:00,37,21,16
2019-12-02 08:00:00,36,25,11
2019-12-02 09:00:00,23,15,8
2019-12-02 10:00:00,8,4,4
2019-12-02 11:00:00,17,6,11
2019-12-02 12:00:00,18,8,10
2019-12-02 13:00:00,10,6,4
2019-12-02 14:00:00,15,5,10
2019-12-02 15:00:00,29,16,13
2019-12-02 16:00:00,34,19,15
2019-12-02 17:00:00,40,21,19
2019-12-02 18:00:00,35,13,22
2019-12-02 19:00:00,8,4,4
2019-12-02 20:00:00,5,2,3
2019-12-02 21:00:00,7,3,4
2019-12-02 22:00:00,0,0,0
2019-12-02 23:00:00,1,1,0
2019-12-03 00:00:00,0,0,0
2019-12-03 01:00:00,1,0,1
2019-12-03 02:00:00,0,0,0
2019-12-03 03:00:00,0,0,0
2019-12-03 04:00:00,1,1,0
2019-12-03 05:00:00,5,4,1
2019-12-03 06:00:00,15,9,6
2019-12-03 07:00:00,34,20,14
2019-12-03 08:00:00,46,31,15
2019-12-03 09:00:00,25,19,6
2019-12-03 10:00:00,8,4,4
2019-12-03 11:00:00,15,9,6
2019-12-03 12:00:00,18,11,7
2019-12-03 13:00:00,12,6,6
2019-12-03 14:00:00,20,10,10
2019-12-03 15:00:00,20,11,9
2019-12-03 16:00:00,33,17,16
2019-12-03 17:00:00,50,12,38
2019-12-03 18:00:00,34,19,15
2019-12-03 19:00:00,11,3,8
2019-12-03 20:00:00,8,6,2
2019-12-03 21:00:00,1,1,0
2019-12-03 22:00:00,0,0,0
2019-12-03 23:00:00,3,3,0
2019-12-04 00:00:00,0,0,0
2019-12-04 01:00:00,0,0,0
2019-12-04 02:00:00,0,0,0
2019-12-04 03:00:00,0,0,0
2019-12-04 04:00:00,3,3,0
2019-12-04 05:00:00,0,0,0
2019-12-04 06:00:00,11,7,4
2019-12-04 07:00:00,36,18,18
2019-12-04 08:00:00,23,16,7
2019-12-04 09:00:00,12,9,3
2019-12-04 10:00:00,10,6,4
2019-12-04 11:00:00,7,3,4
2019-12-04 12:00:00,2,2,0
2019-12-04 13:00:00,7,2,5
2019-12-04 14:00:00,6,5,1
2019-12-04 15:00:00,7,4,3
2019-12-04 16:00:00,25,11,14
2019-12-04 17:00:00,31,12,19
2019-12-04 18:00:00,14,6,8
2019-12-04 19:00:00,10,5,5
2019-12-04 20:00:00,5,2,3
2019-12-04 21:00:00,3,1,2
2019-12-04 22:00:00,0,0,0
2019-12-04 23:00:00,0,0,0
2019-12-05 00:00:00,0,0,0
2019-12-05 01:00:00,1,0,1
2019-12-05 02:00:00,0,0,0
2019-12-05 03:00:00,0,0,0
2019-12-05 04:00:00,2,2,0
2019-12-05 05:00:00,5,3,2
2019-12-05 06:00:00,16,12,4
2019-12-05 07:00:00,34,14,20
2019-12-05 08:00:00,46,28,18
2019-12-05 09:00:00,23,17,6
2019-12-05 10:00:00,11,6,5
2019-12-05 11:00:00,10,5,5
2019-12-05 12:00:00,9,4,5
2019-12-05 13:00:00,12,7,5
2019-12-05 14:00:00,13,5,8
2019-12-05 15:00:00,32,20,12
2019-12-05 16:00:00,27,17,10
2019-12-05 17:00:00,43,19,24
2019-12-05 18:00:00,21,7,14
2019-12-05 19:00:00,14,7,7
2019-12-05 20:00:00,0,0,0
2019-12-05 21:00:00,0,0,0
2019-12-05 22:00:00,0,0,0
2019-12-05 23:00:00,0,0,0
2019-12-06 00:00:00,0,0,0
2019-12-06 01:00:00,2,1,1
2019-12-06 02:00:00,0,0,0
2019-12-06 03:00:00,1,1,0
2019-12-06 04:00:00,1,1,0
2019-12-06 05:00:00,6,3,3
2019-12-06 06:00:00,7,6,1
2019-12-06 07:00:00,27,16,11
2019-12-06 08:00:00,25,15,10
2019-12-06 09:00:00,29,17,12
2019-12-06 10:00:00,21,12,9
2019-12-06 11:00:00,15,9,6
2019-12-06 12:00:00,27,12,15
2019-12-06 13:00:00,25,16,9
2019-12-06 14:00:00,20,12,8
2019-12-06 15:00:00,35,18,17
2019-12-06 16:00:00,33,15,18
2019-12-06 17:00:00,28,7,21
2019-12-06 18:00:00,14,4,10
2019-12-06 19:00:00,6,3,3
2019-12-06 20:00:00,4,2,2
2019-12-06 21:00:00,1,1,0
2019-12-06 22:00:00,0,0,0
2019-12-06 23:00:00,0,0,0
2019-12-07 00:00:00,0,0,0
2019-12-07 01:00:00,0,0,0
2019-12-07 02:00:00,0,0,0
2019-12-07 03:00:00,0,0,0
2019-12-07 04:00:00,0,0,0
2019-12-07 05:00:00,0,0,0
2019-12-07 06:00:00,0,0,0
2019-12-07 07:00:00,1,0,1
2019-12-07 08:00:00,19,3,16
2019-12-07 09:00:00,49,2,47
2019-12-07 10:00:00,37,31,6
2019-12-07 11:00:00,22,18,4
2019-12-07 12:00:00,17,5,12
