Date,Westlake PBL and Newton St,North,South
2018-04-13 00:00:00,2,0,2
2018-04-13 01:00:00,3,1,2
2018-04-13 02:00:00,0,0,0
2018-04-13 03:00:00,1,1,0
2018-04-13 04:00:00,5,3,2
2018-04-13 05:00:00,8,2,6
2018-04-13 06:00:00,37,7,30
2018-04-13 07:00:00,98,8,90
2018-04-13 08:00:00,154,21,133
2018-04-13 09:00:00,109,12,97
2018-04-13 10:00:00,45,12,33
2018-04-13 11:00:00,22,8,14
2018-04-13 12:00:00,23,12,11
2018-04-13 13:00:00,18,13,5
2018-04-13 14:00:00,22,14,8
2018-04-13 15:00:00,44,35,9
2018-04-13 16:00:00,99,82,17
2018-04-13 17:00:00,149,129,20
2018-04-13 18:00:00,80,73,7
2018-04-13 19:00:00,32,29,3
2018-04-13 20:00:00,17,15,2
2018-04-13 21:00:00,12,10,2
2018-04-13 22:00:00,15,13,2
2018-04-13 23:00:00,4,4,0
2018-04-14 00:00:00,2,2,0
2018-04-14 01:00:00,0,0,0
2018-04-14 02:00:00,2,1,1
2018-04-14 03:00:00,0,0,0
2018-04-14 04:00:00,1,0,1
2018-04-14 05:00:00,1,0,1
2018-04-14 06:00:00,4,1,3
2018-04-14 07:00:00,10,5,5
2018-04-14 08:00:00,9,6,3
2018-04-14 09:00:00,24,9,15
2018-04-14 10:00:00,20,9,11
2018-04-14 11:00:00,28,9,19
2018-04-14 12:00:00,16,9,7
2018-04-14 13:00:00,22,14,8
2018-04-14 14:00:00,15,6,9
2018-04-14 15:00:00,10,4,6
2018-04-14 16:00:00,15,7,8
2018-04-14 17:00:00,10,4,6
2018-04-14 18:00:00,8,6,2
2018-04-14 19:00:00,8,5,3
2018-04-14 20:00:00,3,2,1
2018-04-14 21:00:00,2,1,1
2018-04-14 22:00:00,2,1,1
2018-04-14 23:00:00,5,4,1
2018-04-15 00:00:00,2,1,1
2018-04-15 01:00:00,1,0,1
2018-04-15 02:00:00,1,1,0
2018-04-15 03:00:00,1,1,0
2018-04-15 04:00:00,3,0,3
2018-04-15 05:00:00,2,0,2
2018-04-15 06:00:00,6,1,5
2018-04-15 07:00:00,3,0,3
2018-04-15 08:00:00,16,8,8
2018-04-15 09:00:00,32,12,20
2018-04-15 10:00:00,37,16,21
2018-04-15 11:00:00,53,27,26
2018-04-15 12:00:00,58,33,25
2018-04-15 13:00:00,57,35,22
2018-04-15 14:00:00,45,24,21
2018-04-15 15:00:00,56,36,20
2018-04-15 16:00:00,52,27,25
2018-04-15 17:00:00,21,10,11
2018-04-15 18:00:00,15,5,10
2018-04-15 19:00:00,22,8,14
2018-04-15 20:00:00,10,6,4
2018-04-15 21:00:00,4,3,1
2018-04-15 22:00:00,5,3,2
2018-04-15 23:00:00,3,2,1
2018-04-16 00:00:00,1,0,1
2018-04-16 01:00:00,0,0,0
2018-04-16 02:00:00,0,0,0
2018-04-16 03:00:00,1,1,0
2018-04-16 04:00:00,6,3,3
2018-04-16 05:00:00,14,2,12
2018-04-16 06:00:00,57,6,51
2018-04-16 07:00:00,138,10,128
2018-04-16 08:00:00,222,17,205
2018-04-16 09:00:00,126,19,107
2018-04-16 10:00:00,43,7,36
2018-04-16 11:00:00,23,9,14
2018-04-16 12:00:00,19,10,9
2018-04-16 13:00:00,23,13,10
2018-04-16 14:00:00,23,10,13
2018-04-16 15:00:00,54,44,10
2018-04-16 16:00:00,123,109,14
2018-04-16 17:00:00,252,228,24
2018-04-16 18:00:00,157,139,18
2018-04-16 19:00:00,57,46,11
2018-04-16 20:00:00,26,22,4
2018-04-16 21:00:00,22,15,7
2018-04-16 22:00:00,10,6,4
2018-04-16 23:00:00,5,4,1
2018-04-17 00:00:00,1,1,0
2018-04-17 01:00:00,1,1,0
2018-04-17 02:00:00,2,2,0
2018-04-17 03:00:00,0,0,0
2018-04-17 04:00:00,7,2,5
2018-04-17 05:00:00,20,4,16
2018-04-17 06:00:00,73,13,60
2018-04-17 07:00:00,223,22,201
